date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-22, Nick Gonzales, Joshua Palacios, Henry Davis, Nick Yorke, DJ Stewart, Darick Hall, Billy Cook, Liover Peguero, Enmanuel Valdez,
2025-02-23, Adam Frazier, Bryan Reynolds, Ke'Bryan Hayes, Jack Suwinski, Jared Triolo, Isiah Kiner-Falefa, DJ Stewart, Ji Hwan Bae, Jason Delay,
2025-02-25, Tommy Pham, Bryan Reynolds, Oneil Cruz, Joey Bart, Ke'Bryan Hayes, Nick Gonzales, Adam Frazier, Isiah Kiner-Falefa, Jared Triolo,
2025-02-26a, Jack Suwinski, Nick Yorke, Joshua Palacios, Nick Gonzales, Jared Triolo, DJ Stewart, Enmanuel Valdez, Jason Delay, Ji Hwan Bae,
2025-02-26b, Tommy Pham, Bryan Reynolds, Andrew McCutchen, Endy Rodriguez, Ke'Bryan Hayes, Adam Frazier, Isiah Kiner-Falefa, Darick Hall, Billy Cook,
2025-02-27, Jack Suwinski, Nick Yorke, Oneil Cruz, Joey Bart, Henry Davis, DJ Stewart, Enmanuel Valdez, Nick Solak, Alika Williams,
2025-02-28, Tommy Pham, Bryan Reynolds, Andrew McCutchen, Endy Rodriguez, Ke'Bryan Hayes, Nick Gonzales, Isiah Kiner-Falefa, Jared Triolo, Bryce Johnson,
2025-03-01, Nick Yorke, Jared Triolo, Oneil Cruz, Joey Bart, Jack Suwinski, Nick Solak, DJ Stewart, Joshua Palacios, Liover Peguero,
2025-03-02, Tommy Pham, Bryan Reynolds, Andrew McCutchen, Nick Gonzales, Ke'Bryan Hayes, Darick Hall, Henry Davis, Isiah Kiner-Falefa, Ji Hwan Bae,
2025-03-03, Tommy Pham, Nick Yorke, Oneil Cruz, Joey Bart, Jack Suwinski, Jared Triolo, DJ Stewart, Enmanuel Valdez, Joshua Palacios,
2025-03-04, Ji Hwan Bae, Bryan Reynolds, Andrew McCutchen, Nick Gonzales, Ke'Bryan Hayes, Isiah Kiner-Falefa, Darick Hall, Billy Cook, Jason Delay,
2025-03-05, Jack Suwinski, Tommy Pham, Oneil Cruz, Joey Bart, Ke'Bryan Hayes, DJ Stewart, Nick Gonzales, Nick Yorke, Jared Triolo,
2025-03-06, Tommy Pham, Bryan Reynolds, Oneil Cruz, Andrew McCutchen, Endy Rodriguez, Nick Yorke, Enmanuel Valdez, Isiah Kiner-Falefa, Jared Triolo,
2025-03-07, Tommy Pham, Nick Gonzales, Joey Bart, Henry Davis, Adam Frazier, Billy Cook, Ji Hwan Bae, Joshua Palacios, Alika Williams,
2025-03-08, Jack Suwinski, Bryan Reynolds, Oneil Cruz, Andrew McCutchen, Endy Rodriguez, Nick Yorke, DJ Stewart, Isiah Kiner-Falefa, Jared Triolo,
2025-03-09, Tommy Pham, Endy Rodriguez, Nick Gonzales, Joey Bart, Billy Cook, Adam Frazier, Liover Peguero, Bryce Johnson, Enmanuel Valdez,
2025-03-10, Jack Suwinski, Bryan Reynolds, Oneil Cruz, Andrew McCutchen, Henry Davis, DJ Stewart, Isiah Kiner-Falefa, Enmanuel Valdez, Jared Triolo,
2025-03-11, Ji Hwan Bae, Adam Frazier, Oneil Cruz, Joey Bart, Nick Gonzales, Enmanuel Valdez, DJ Stewart, Billy Cook, Liover Peguero,
2025-03-13, Jack Suwinski, Bryan Reynolds, Tommy Pham, Andrew McCutchen, Henry Davis, Adam Frazier, Isiah Kiner-Falefa, Jared Triolo, Billy Cook,
2025-03-14, Tommy Pham, Bryan Reynolds, Oneil Cruz, Joey Bart, Andrew McCutchen, Nick Gonzales, Nick Yorke, Isiah Kiner-Falefa, Jared Triolo,
2025-03-15, Ke'Bryan Hayes, Endy Rodriguez, Oneil Cruz, Andrew McCutchen, Jack Suwinski, DJ Stewart, Nick Gonzales, Adam Frazier, Ji Hwan Bae,
2025-03-16, Nick Yorke, Adam Frazier, Tommy Pham, Joey Bart, Joshua Palacios, Isiah Kiner-Falefa, Jared Triolo, Henry Davis, Billy Cook,
