date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-20, Luke Raley, Cal Raleigh, Julio Rodriguez, Josh Naylor, Randy Arozarena, J.P. Crawford, Dominic Canzone, Michael Arroyo, Colt Emerson,
2026-02-21, Victor Robles, Cole Young, Patrick Wisdom, Connor Joe, Andrew Knizner, Miles Mastrobuoni, Leo Rivas, Lazaro Montes, Colt Emerson,
2026-02-22, Luke Raley, Cal Raleigh, Julio Rodriguez, Josh Naylor, Randy Arozarena, Dominic Canzone, Michael Arroyo, Will Wilson, Brock Rodden,
2026-02-23, Victor Robles, Rob Refsnyder, Patrick Wisdom, Connor Joe, Miles Mastrobuoni, Andrew Knizner, Cole Young, Colt Emerson, Jonny Farmelo,
2026-02-24, Brendan Donovan, Cal Raleigh, Julio Rodriguez, Josh Naylor, Randy Arozarena, Luke Raley, Dominic Canzone, Michael Arroyo, Colt Emerson,
2026-02-25, Victor Robles, Rob Refsnyder, Josh Naylor, Patrick Wisdom, Miles Mastrobuoni, Andrew Knizner, Cole Young, Leo Rivas, Will Wilson,
2026-02-26, Brendan Donovan, Cal Raleigh, Julio Rodriguez, Randy Arozarena, Luke Raley, Dominic Canzone, Connor Joe, Michael Arroyo, Colt Emerson,
2026-02-27, Victor Robles, Rob Refsnyder, Josh Naylor, Brennen Davis, Miles Mastrobuoni, Cole Young, Leo Rivas, Jhonny Pereda, Rhylan Thomas,
2026-02-28, Brendan Donovan, Cal Raleigh, Josh Naylor, Randy Arozarena, Luke Raley, Dominic Canzone, Patrick Wisdom, Ryan Bliss, Colt Emerson,
2026-03-01, Victor Robles, Cole Young, Rob Refsnyder, Brennen Davis, Connor Joe, Colt Emerson, Andrew Knizner, Leo Rivas, Lazaro Montes,
2026-03-03, Brendan Donovan, Rob Refsnyder, Luke Raley, Mitch Garver, J.P. Crawford, Patrick Wisdom, Ryan Bliss, Colt Emerson, Rhylan Thomas,
2026-03-04, Cole Young, J.P. Crawford, Brennen Davis, Connor Joe, Leo Rivas, Andrew Knizner, Will Wilson, Lazaro Montes, Jonny Farmelo,
2026-03-05, Brendan Donovan, Rob Refsnyder, Luke Raley, Mitch Garver, Patrick Wisdom, Rhylan Thomas, Ryan Bliss, Spencer Packard, Colt Emerson,
2026-03-06, Cole Young, J.P. Crawford, Brennen Davis, Connor Joe, Patrick Wisdom, Leo Rivas, Jhonny Pereda, Carson Taylor, Jonny Farmelo,
2026-03-07, Brendan Donovan, Rob Refsnyder, Luke Raley, Ryan Bliss, J.P. Crawford, Mitch Garver, Connor Joe, Colt Emerson, Rhylan Thomas,
2026-03-08, Victor Robles, Cole Young, Brennen Davis, Patrick Wisdom, Leo Rivas, Andrew Knizner, Lazaro Montes, Will Wilson, Jonny Farmelo,
2026-03-09, Brendan Donovan, Rob Refsnyder, Luke Raley, Mitch Garver, J.P. Crawford, Victor Robles, Connor Joe, Ryan Bliss, Rhylan Thomas,
2026-03-10, Brendan Donovan, Cole Young, Brennen Davis, Patrick Wisdom, Jhonny Pereda, Lazaro Montes, Leo Rivas, Spencer Packard, Bill Knight,
2026-03-11, Victor Robles, Rob Refsnyder, Luke Raley, Mitch Garver, J.P. Crawford, Cole Young, Connor Joe, Colt Emerson, Rhylan Thomas,
2026-03-12, Brendan Donovan, Cole Young, Brennen Davis, Luke Raley, Victor Robles, Patrick Wisdom, Michael Arroyo, Leo Rivas, Andrew Knizner,
2026-03-13, Brendan Donovan, Rob Refsnyder, Mitch Garver, Connor Joe, Patrick Wisdom, Colt Emerson, Rhylan Thomas, Jonny Farmelo, Brock Rodden,
2026-03-14, Victor Robles, Cole Young, Connor Joe, Luke Raley, Brennen Davis, Jhonny Pereda, Leo Rivas, Colt Emerson, Rhylan Thomas,
2026-03-15, Brendan Donovan, Randy Arozarena, Luke Raley, Rob Refsnyder, Cole Young, Mitch Garver, Leo Rivas, Carson Taylor, Jonny Farmelo,
