date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-21, Harrison Bader, Christian Koss, Heliot Ramos, Bryce Eldridge, Jerar Encarnacion, Casey Schmitt, Daniel Susac, Eric Haase, Tyler Fitzgerald,
2026-02-22, Luis Arraez, Matt Chapman, Willy Adames, Rafael Devers, Patrick Bailey, Jung Hoo Lee, Bryce Eldridge, Will Brennan, Harrison Bader,
2026-02-23, Luis Arraez, Rafael Devers, Willy Adames, Jung Hoo Lee, Heliot Ramos, Matt Chapman, Drew Gilbert, Harrison Bader, Daniel Susac,
2026-02-24, Jung Hoo Lee, Jared Oliva, Heliot Ramos, Patrick Bailey, Jerar Encarnacion, Jake Holton, Nate Furman, Christian Koss, Casey Schmitt,
2026-02-25, Harrison Bader, Bryce Eldridge, Jung Hoo Lee, Eric Haase, Will Brennan, Luis Matos, Casey Schmitt, Christian Koss, Tyler Fitzgerald,
2026-02-26, Luis Arraez, Matt Chapman, Rafael Devers, Willy Adames, Heliot Ramos, Patrick Bailey, Harrison Bader, Jared Oliva, Jake Holton,
2026-02-27, Willy Adames, Bryce Eldridge, Patrick Bailey, Luis Arraez, Harrison Bader, Matt Chapman, Heliot Ramos, Victor Bericoto, Daniel Susac,
2026-02-28, Heliot Ramos, Bryce Eldridge, Eric Haase, Jerar Encarnacion, Luis Matos, Will Brennan, Parks Harber, Buddy Kennedy, Christian Koss,
2026-03-01, Willy Adames, Bryce Eldridge, Casey Schmitt, Patrick Bailey, Matt Chapman, Grant McCray, Jared Oliva, Tyler Fitzgerald, Jerar Encarnacion,
2026-03-02, Jesus Rodriguez, Parks Harber, Christian Koss, Victor Bericoto, Luis Matos, Casey Schmitt, Eric Haase, Jerar Encarnacion, Buddy Kennedy,
2026-03-04, Willy Adames, Matt Chapman, Will Brennan, Casey Schmitt, Luis Matos, Grant McCray, Jake Holton, Eric Haase, Christian Koss,
2026-03-06, Jared Oliva, Daniel Susac, Willy Adames, Victor Bericoto, Matt Chapman, Bryce Eldridge, Luis Matos, Jake Holton, Christian Koss,
2026-03-07a, Willy Adames, Matt Chapman, Patrick Bailey, Casey Schmitt, Bryce Eldridge, Luis Matos, Grant McCray, Jerar Encarnacion, Daniel Susac,
2026-03-07b, Jared Oliva, Will Brennan, Jesus Rodriguez, Victor Bericoto, Jean Carlos Sio, Jake Holton, Parks Harber, Nate Furman, Josuar Gonzalez,
2026-03-08, Will Brennan, Jesus Rodriguez, Bryce Eldridge, Luis Matos, Daniel Susac, Casey Schmitt, Jerar Encarnacion, Parks Harber, Tyler Fitzgerald,
2026-03-09, Rafael Devers, Matt Chapman, Patrick Bailey, Willy Adames, Casey Schmitt, Grant McCray, Jared Oliva, Victor Bericoto, Osleivis Basabe,
2026-03-10, Will Brennan, Jared Oliva, Jesus Rodriguez, Bryce Eldridge, Casey Schmitt, Luis Matos, Parks Harber, Tyler Fitzgerald, Drew Gilbert,
2026-03-11, Drew Gilbert, Christian Koss, Patrick Bailey, Jerar Encarnacion, Parks Harber, Jared Oliva, Jake Holton, Osleivis Basabe, Tyler Fitzgerald,
2026-03-12, Harrison Bader, Rafael Devers, Matt Chapman, Willy Adames, Bryce Eldridge, Daniel Susac, Will Brennan, Casey Schmitt, Victor Bericoto,
2026-03-13a, Nate Furman, Luis Matos, Christian Koss, Jesus Rodriguez, Bryce Eldridge, Casey Schmitt, Daniel Susac, Jared Oliva, Grant McCray,
2026-03-13b, Willy Adames, Rafael Devers, Matt Chapman, Patrick Bailey, Harrison Bader, Drew Gilbert, Will Brennan, Jerar Encarnacion, Buddy Kennedy,
2026-03-14, Jesus Rodriguez, Rafael Devers, Willy Adames, Casey Schmitt, Will Brennan, Daniel Susac, Victor Bericoto, Christian Koss, Jake Holton,
2026-03-15, Willy Adames, Matt Chapman, Patrick Bailey, Luis Matos, Grant McCray, Bryce Eldridge, Jerar Encarnacion, Christian Koss, Casey Schmitt,
2026-03-16, Jared Oliva, Jung Hoo Lee, Daniel Susac, Bryce Eldridge, Harrison Bader, Drew Gilbert, Buddy Kennedy, Tyler Fitzgerald, Jesus Rodriguez,
2026-03-18, Jung Hoo Lee, Patrick Bailey, Matt Chapman, Heliot Ramos, Willy Adames, Jerar Encarnacion, Will Brennan, Luis Matos, Christian Koss,
2026-03-19, Drew Gilbert, Jared Oliva, Heliot Ramos, Daniel Susac, Victor Bericoto, Luis Matos, Casey Schmitt, Christian Koss, Osleivis Basabe,
2026-03-20a, Drew Gilbert, Daniel Susac, Will Brennan, Victor Bericoto, Christian Koss, Gavin Kilen, Buddy Kennedy, Jesus Rodriguez, Charlie Szykowny,
2026-03-20b, Rafael Devers, Matt Chapman, Luis Arraez, Willy Adames, Jung Hoo Lee, Heliot Ramos, Patrick Bailey, Casey Schmitt, Luis Matos,
