player,avg,ngames,teamgames,team
Zach Neto,1.22, 18, 32,LAA
Nolan Schanuel,3.00, 17, 32,LAA
Yoan Moncada,3.67, 12, 32,LAA
Jorge Soler,3.06, 17, 32,LAA
Jo Adell,4.53, 19, 32,LAA
Josh Lowe,5.89,  9, 32,LAA
Logan O'Hoppe,5.50, 18, 32,LAA
Christian Moore,5.46, 13, 32,LAA
Bryce Teodosio,8.62, 16, 32,LAA
Adam Frazier,6.42, 12, 32,LAA
Mike Trout,2.00, 17, 32,LAA
Vaughn Grissom,3.40, 10, 32,LAA
Oswald Peraza,6.24, 17, 32,LAA
Kyren Paris,5.00,  5, 32,LAA
Travis d'Arnaud,6.00, 11, 32,LAA
Trey Mancini,6.60,  5, 32,LAA
Chris Taylor,6.14, 14, 32,LAA
Jose Siri,6.88,  8, 32,LAA
Niko Kavadas,5.50,  2, 32,LAA
Matthew Lugo,8.50,  2, 32,LAA
Gustavo Campero,9.00,  2, 32,LAA
Denzer Guzman,7.50,  2, 32,LAA
Raudi Rodriguez,8.00,  2, 32,LAA
Jeimer Candelario,5.38, 13, 32,LAA
Nelson Rada,3.50,  2, 32,LAA
Nick Madrigal,3.00,  5, 32,LAA
Omar Martinez,6.00,  1, 32,LAA
Donovan Walton,5.67,  3, 32,LAA
Yolmer Sanchez,8.20,  5, 32,LAA
Wade Meckler,6.00,  3, 32,LAA
Ben Gobbel,8.00,  1, 32,LAA
Sebastian Rivero,5.00,  3, 32,LAA
Cole Fontenelle,8.00,  1, 32,LAA
Randy De Jesus,8.00,  1, 32,LAA
Jorge Ruiz,9.00,  1, 32,LAA
LeTrey McCollum,9.00,  1, 32,LAA
Zach Cole,2.38, 16, 28,HOU
Brice Matthews,4.00,  9, 28,HOU
Cam Smith,5.07, 15, 28,HOU
Joey Loperfido,3.67, 15, 28,HOU
Zach Dezenzo,5.00,  4, 28,HOU
Shay Whitcomb,6.17,  6, 28,HOU
Will Bush,7.00,  1, 28,HOU
Nick Allen,8.31, 13, 28,HOU
Cesar Salazar,8.91, 11, 28,HOU
Jeremy Pena,1.00,  4, 28,HOU
Taylor Trammell,3.82, 11, 28,HOU
Jake Meyers,5.58, 12, 28,HOU
Ethan Frey,5.33,  3, 28,HOU
Lucas Spence,6.00,  5, 28,HOU
Jack Winkler,5.80,  5, 28,HOU
Jax Biggers,8.44,  9, 28,HOU
Collin Price,7.00,  3, 28,HOU
Walker Janek,8.33,  3, 28,HOU
CJ Alexander,7.00,  5, 28,HOU
Yainer Diaz,5.09, 11, 28,HOU
Joseph Sullivan,4.75,  4, 28,HOU
Tommy Sacco Jr.,7.00,  1, 28,HOU
Zach Daudet,9.00,  1, 28,HOU
Carlos Correa,3.40, 10, 28,HOU
Christian Walker,4.85, 13, 28,HOU
John Garcia,9.00,  1, 28,HOU
Riley Unroe,6.80, 10, 28,HOU
Carlos Perez,7.50,  4, 28,HOU
Kellen Strahm,9.00,  2, 28,HOU
Jose Altuve,1.43, 14, 28,HOU
Isaac Paredes,2.27, 11, 28,HOU
Yordan Alvarez,2.67, 12, 28,HOU
James Nelson,7.00,  1, 28,HOU
Cavan Biggio,6.00,  4, 28,HOU
Kevin Alvarez,5.00,  1, 28,HOU
Christian Vazquez,7.00,  2, 28,HOU
Denzel Clarke,6.82, 11, 31,ATH
Colby Thomas,3.71,  7, 31,ATH
Max Muncy,5.21, 33, 31,ATH
Austin Wynns,4.09, 11, 31,ATH
Darell Hernaiz,5.75,  8, 31,ATH
Brett Harris,5.20,  5, 31,ATH
Junior Perez,8.56,  9, 31,ATH
Henry Bolte,8.13, 15, 31,ATH
Michael Stefanic,7.40,  5, 31,ATH
Nick Kurtz,1.24, 21, 31,ATH
Shea Langeliers,2.16, 19, 31,ATH
Tyler Soderstrom,3.16, 19, 31,ATH
Brent Rooker,3.89, 18, 31,ATH
Jacob Wilson,3.83, 18, 31,ATH
Jeff McNeil,5.22, 18, 31,ATH
Andy Ibanez,5.56, 16, 31,ATH
Carlos Cortes,5.33,  6, 31,ATH
Joey Meneses,8.00,  1, 31,ATH
Leo De Vries,6.80, 10, 31,ATH
Cade Marlowe,6.11,  9, 31,ATH
Ryan Lasko,8.00,  3, 31,ATH
Clark Elliott,9.00,  4, 31,ATH
Chad Wallach,7.00,  2, 31,ATH
Brian Serven,5.33,  3, 31,ATH
Euribiel Angeles,6.50,  2, 31,ATH
Tommy White,7.00,  6, 31,ATH
Joshua Kuroda-Grauer,9.00,  1, 31,ATH
Zack Gelof,4.50,  6, 31,ATH
Cameron Leary,8.00,  1, 31,ATH
Devin Taylor,9.00,  1, 31,ATH
Breyson Guedez,9.00,  1, 31,ATH
Jared Dickey,9.00,  1, 31,ATH
Lawrence Butler,4.00,  4, 31,ATH
Ernie Clement,4.38,  8, 28,TOR
Andres Gimenez,5.25,  8, 28,TOR
Vladimir Guerrero Jr.,3.00,  8, 28,TOR
Alejandro Kirk,4.30, 10, 28,TOR
Addison Barger,3.76, 17, 28,TOR
Kazuma Okamoto,6.12,  8, 28,TOR
Daulton Varsho,3.95, 19, 28,TOR
Davis Schneider,4.00, 16, 28,TOR
Nathan Lukes,4.44, 16, 28,TOR
Myles Straw,3.50, 12, 28,TOR
Jesus Sanchez,3.94, 16, 28,TOR
Eloy Jimenez,4.64, 11, 28,TOR
RJ Schreck,5.50,  2, 28,TOR
Leo Jimenez,5.56,  9, 28,TOR
Brandon Valenzuela,5.50,  8, 28,TOR
Arjun Nimmala,7.90, 10, 28,TOR
Riley Tirotta,8.56,  9, 28,TOR
Josh Kasevich,7.89,  9, 28,TOR
Ben Cowles,8.67,  6, 28,TOR
Jonatan Clase,5.75,  4, 28,TOR
Sean Keys,7.88,  8, 28,TOR
George Springer,1.00, 14, 28,TOR
C.J. Stubbs,7.00,  2, 28,TOR
Tyler Heineman,4.75,  8, 28,TOR
Charles McAdoo,8.33,  6, 28,TOR
Yohendrick Pinango,5.00,  2, 28,TOR
Rafael Lantigua,7.00,  5, 28,TOR
Josh Rivera,8.00,  2, 28,TOR
Carlos Mendoza,8.00,  2, 28,TOR
Jorge Mateo,3.25, 12, 30,ATL
Mike Yastrzemski,4.67, 15, 30,ATL
Eli White,5.33, 12, 30,ATL
Jonah Heim,5.80, 10, 30,ATL
Ben Gamel,5.18, 11, 30,ATL
Kyle Farmer,5.31, 13, 30,ATL
Brett Wisely,4.70, 10, 30,ATL
Tristin English,5.75,  4, 30,ATL
Luke Williams,5.50, 10, 30,ATL
Ronald Acuna Jr.,1.00,  7, 30,ATL
Drake Baldwin,2.08, 13, 30,ATL
Matt Olson,3.00, 17, 30,ATL
Jurickson Profar,3.00,  4, 30,ATL
Austin Riley,4.12, 17, 30,ATL
Ozzie Albies,4.83, 12, 30,ATL
Michael Harris II,6.24, 17, 30,ATL
Aaron Schunk,7.14,  7, 30,ATL
Mauricio Dubon,5.59, 17, 30,ATL
Dominic Smith,4.69, 13, 30,ATL
Nacho Alvarez Jr.,3.50,  2, 30,ATL
DaShawn Keirsey Jr.,5.90, 10, 30,ATL
Brewer Hicklen,5.83,  6, 30,ATL
Chadwick Tromp,7.67,  3, 30,ATL
Jose Azocar,7.82, 11, 30,ATL
Luke Waddell,6.00,  1, 30,ATL
Jair Camargo,6.00,  3, 30,ATL
John Gil,5.00,  2, 30,ATL
Jim Jarvis,9.00,  1, 30,ATL
Sandy Leon,7.00,  5, 30,ATL
Cal Conley,8.00,  1, 30,ATL
Drew Compton,9.00,  1, 30,ATL
Patrick Clohisy,8.67,  3, 30,ATL
Brice Turang,2.22,  9, 30,MIL
Jackson Chourio,1.30, 10, 30,MIL
Akil Baddoo,4.00,  7, 30,MIL
Joey Ortiz,5.42, 12, 30,MIL
Tyler Black,3.33,  6, 30,MIL
Brandon Lockridge,5.21, 14, 30,MIL
David Hamilton,6.95, 19, 30,MIL
Reese McGuire,6.88,  8, 30,MIL
Luis Lara,7.90, 10, 30,MIL
Andrew Vaughn,3.60, 15, 30,MIL
Jeferson Quero,6.00,  6, 30,MIL
Jesus Made,7.83,  6, 30,MIL
Cooper Pratt,8.00, 10, 30,MIL
Luke Adams,7.67,  3, 30,MIL
Gary Sanchez,4.21, 14, 30,MIL
William Contreras,2.88,  8, 30,MIL
Sal Frelick,2.65, 17, 30,MIL
