,team,gamenum,opponent,date,opposinghandedness,pa1,pa2,pa3,pa4,pa5,pa6,pa7,pa8,pa9,dblheader
0,LAA,1,HOU,2022-04-07,L,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,false
1,LAA,2,HOU,2022-04-08,R,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,false
2,LAA,3,HOU,2022-04-09,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
3,LAA,4,HOU,2022-04-10,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,false
4,LAA,5,MIA,2022-04-11,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
5,LAA,6,MIA,2022-04-12,L,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
6,LAA,7,TEX,2022-04-14,R,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,false
7,LAA,8,TEX,2022-04-15,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
8,LAA,9,TEX,2022-04-16,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,false
9,LAA,10,TEX,2022-04-17,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,false
10,LAA,11,HOU,2022-04-18,R,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,false
11,LAA,12,HOU,2022-04-19,L,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,false
12,LAA,13,HOU,2022-04-20,R,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,false
13,LAA,14,BAL,2022-04-22,L,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
14,LAA,15,BAL,2022-04-23,R,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,false
15,LAA,16,BAL,2022-04-24,R,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,false
16,LAA,17,CLE,2022-04-25,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,false
17,LAA,18,CLE,2022-04-26,R,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,false
18,LAA,19,CLE,2022-04-27,R,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,false
