,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
0,"Fletcher, David",LAA,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Trout, Mike",LAA,1.0,15.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Ohtani, Shohei",LAA,1.0,4.0,3.0,10.0,20.0,2.0,0.0,0.0,0.0
3,"Upton, Justin",LAA,0.0,2.0,1.0,10.0,5.0,15.0,5.0,4.0,0.0
4,"La Stella, Tommy",LAA,0.0,16.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0
5,"Pujols, Albert",LAA,0.0,0.0,1.0,3.0,19.0,15.0,0.0,0.0,0.0
6,"Castro, Jason",LAA,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0
7,"Simmons, Andrelton",LAA,9.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,15.0
8,"Goodwin, Brian",LAA,0.0,3.0,0.0,1.0,3.0,7.0,2.0,0.0,10.0
9,"Ward, Taylor",LAA,0.0,0.0,1.0,0.0,2.0,4.0,10.0,6.0,1.0
10,"Hermosillo, Michael",LAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,"Stassi, Max",LAA,0.0,0.0,0.0,0.0,1.0,2.0,7.0,16.0,0.0
12,"Walsh, Jared",LAA,0.0,16.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0
13,"Thaiss, Matt",LAA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
14,"Rendon, Anthony",LAA,0.0,0.0,15.0,36.0,1.0,0.0,0.0,0.0,0.0
15,"Rengifo, Luis",LAA,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,20.0
16,"Adell, Jo",LAA,0.0,0.0,0.0,0.0,2.0,4.0,19.0,5.0,3.0
17,"Bemboom, Anthony",LAA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0
18,"Barreto, Franklin",LAA,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
19,"Briceño, José",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20,"Jones, Jahmai",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
21,"Soto, Elliot",LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
22,"Springer, George",HOU,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Altuve, Jose",HOU,3.0,40.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
24,"Bregman, Alex",HOU,0.0,4.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0
25,"Brantley, Michael",HOU,0.0,0.0,28.0,15.0,0.0,2.0,0.0,0.0,0.0
26,"Gurriel, Yuli",HOU,0.0,0.0,0.0,22.0,24.0,10.0,0.0,0.0,0.0
27,"Correa, Carlos",HOU,0.0,0.0,6.0,1.0,6.0,31.0,12.0,0.0,0.0
28,"Reddick, Josh",HOU,0.0,11.0,0.0,3.0,1.0,4.0,23.0,12.0,0.0
29,"Díaz, Aledmys",HOU,0.0,2.0,0.0,0.0,1.0,2.0,5.0,6.0,0.0
30,"Maldonado, Martín",HOU,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,33.0
31,"Tucker, Kyle",HOU,3.0,0.0,0.0,6.0,26.0,5.0,8.0,8.0,0.0
32,"Jones, Taylor",HOU,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
33,"Garneau, Dustin",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
34,"Straw, Myles",HOU,5.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
35,"Toro, Abraham",HOU,0.0,1.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0
36,"Mayfield, Jack",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
37,"Alvarez, Yordan",HOU,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
38,"Stubbs, Garrett",HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,"Semien, Marcus",OAK,39.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Laureano, Ramón",OAK,3.0,28.0,9.0,0.0,0.0,2.0,6.0,6.0,0.0
41,"Chapman, Matt",OAK,0.0,1.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0
42,"Davis, Khris",OAK,0.0,0.0,1.0,1.0,1.0,9.0,13.0,0.0,0.0
43,"Olson, Matt",OAK,0.0,0.0,13.0,27.0,18.0,1.0,0.0,0.0,0.0
44,"Pinder, Chad",OAK,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
45,"Canha, Mark",OAK,0.0,0.0,6.0,16.0,29.0,6.0,2.0,0.0,0.0
46,"Piscotty, Stephen",OAK,0.0,0.0,5.0,0.0,3.0,5.0,23.0,8.0,0.0
47,"Murphy, Sean",OAK,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,26.0
48,"Grossman, Robbie",OAK,0.0,7.0,2.0,0.0,7.0,24.0,5.0,0.0,0.0
49,"Allen, Austin",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
50,"Machín, Vimael",OAK,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0
51,"Kemp, Tony",OAK,1.0,5.0,0.0,0.0,0.0,0.0,1.0,12.0,13.0
52,"Brown, Seth",OAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,"Heim, Jonah",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
54,"Barreto, Franklin",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55,"La Stella, Tommy",OAK,17.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"Lamb, Jake",OAK,0.0,0.0,0.0,1.0,1.0,5.0,3.0,3.0,0.0
57,"Orf, Nate",OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,"Bichette, Bo",TOR,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Biggio, Cavan",TOR,46.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,"Guerrero Jr., Vladimir",TOR,0.0,0.0,10.0,14.0,21.0,12.0,0.0,0.0,0.0
61,"Shaw, Travis",TOR,0.0,0.0,18.0,1.0,4.0,8.0,9.0,3.0,0.0
62,"Grichuk, Randal",TOR,0.0,25.0,1.0,9.0,8.0,6.0,5.0,0.0,0.0
63,"Tellez, Rowdy",TOR,0.0,0.0,7.0,4.0,7.0,5.0,1.0,4.0,0.0
64,"Hernández, Teoscar",TOR,3.0,1.0,11.0,26.0,1.0,2.0,2.0,1.0,1.0
65,"Fisher, Derek",TOR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
66,"Jansen, Danny",TOR,0.0,0.0,1.0,0.0,1.0,1.0,9.0,8.0,19.0
67,"Gurriel Jr., Lourdes",TOR,2.0,0.0,10.0,6.0,15.0,14.0,5.0,0.0,0.0
68,"McGuire, Reese",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
69,"Espinal, Santiago",TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,13.0
70,"Drury, Brandon",TOR,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,3.0
71,"Alford, Anthony",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
72,"Panik, Joe",TOR,0.0,0.0,0.0,0.0,1.0,4.0,12.0,12.0,3.0
73,"McKinney, Billy",TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,"Vogelbach, Daniel",TOR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75,"Villar, Jonathan",TOR,2.0,2.0,2.0,0.0,1.0,5.0,4.0,3.0,0.0
76,"Joseph, Caleb",TOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
77,"Davis, Jonathan",TOR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0
78,"Kirk, Alejandro",TOR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0
79,"Acuña Jr., Ronald",ATL,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Albies, Ozzie",ATL,1.0,10.0,0.0,1.0,2.0,4.0,2.0,1.0,7.0
81,"Freeman, Freddie",ATL,0.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"Ozuna, Marcell",ATL,0.0,0.0,24.0,36.0,0.0,0.0,0.0,0.0,0.0
83,"Adams, Matt",ATL,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0
84,"Riley, Austin",ATL,0.0,0.0,0.0,0.0,2.0,15.0,13.0,20.0,1.0
85,"Swanson, Dansby",ATL,13.0,20.0,0.0,0.0,10.0,7.0,7.0,1.0,2.0
86,"Inciarte, Ender",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0
87,"Jackson, Alex",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
88,"Duvall, Adam",ATL,0.0,0.0,0.0,3.0,13.0,12.0,17.0,2.0,0.0
89,"Camargo, Johan",ATL,0.0,0.0,0.0,0.0,0.0,5.0,13.0,4.0,9.0
90,"Contreras, William",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,"d'Arnaud, Travis",ATL,0.0,4.0,4.0,15.0,13.0,3.0,0.0,0.0,0.0
92,"Flowers, Tyler",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0
93,"Hechavarría, Adeiny",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0
94,"Culberson, Charlie",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95,"Markakis, Nick",ATL,0.0,0.0,0.0,4.0,8.0,14.0,3.0,4.0,0.0
96,"Pache, Cristian",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,"Sandoval, Pablo",ATL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,"Sogard, Eric",MIL,12.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,5.0
99,"Yelich, Christian",MIL,0.0,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Hiura, Keston",MIL,0.0,25.0,20.0,1.0,12.0,1.0,0.0,0.0,0.0
101,"Smoak, Justin",MIL,0.0,0.0,0.0,15.0,7.0,4.0,3.0,0.0,0.0
102,"Braun, Ryan",MIL,4.0,0.0,13.0,6.0,8.0,3.0,0.0,0.0,0.0
103,"García, Avisaíl",MIL,26.0,0.0,1.0,7.0,11.0,4.0,1.0,0.0,0.0
