player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Marcus Semien,1.0,21,32,TEX,Marcus Semien ,657,0.252,0.035,23,12,93,24,77,22,10,8,21,,742.0,85.0
Masyn Winn,1.0,16,30,STL,Masyn Winn ,628,0.233,0.036,10,7,53,18,44,16,8,7,154,,742.0,114.0
Ian Happ,1.0,14,24,CHC,Ian Happ ,644,0.249,0.035,21,11,83,23,79,22,11,8,28,,742.0,98.0
CJ Abrams,1.0,18,30,WSH,CJ Abrams ,585,0.247,0.035,14,9,70,20,53,17,31,13,76,,742.0,157.0
Ketel Marte,1.0,20,34,AZ,Ketel Marte ,620,0.278,0.039,29,13,91,23,87,23,7,6,16,,742.0,122.0
Jonathan India,1.0,18,33,KC,Jonathan India ,569,0.25,0.035,15,9,76,20,58,18,10,7,80,,742.0,173.0
Francisco Lindor,1.0,18,31,NYM,Francisco Lindor ,659,0.266,0.036,28,13,98,25,90,24,22,12,5,,742.0,83.0
Lawrence Butler,1.0,15,31,ATH,Lawrence Butler ,607,0.247,0.038,19,10,57,18,53,18,11,8,88,,742.0,135.0
Brenton Doyle,1.0,18,33,COL,Brenton Doyle ,614,0.239,0.037,15,9,62,19,55,18,24,12,90,,742.0,128.0
Jose Altuve,1.0,14,29,HOU,Jose Altuve ,636,0.294,0.043,22,11,97,24,68,20,18,10,14,,742.0,106.0
Shohei Ohtani,1.0,10,23,LAD,Shohei Ohtani ,645,0.292,0.043,44,16,108,26,106,26,30,21,1,,742.0,97.0
Xavier Edwards,1.0,17,30,MIA,Xavier Edwards ,571,0.312,0.053,1,5,37,14,24,11,27,12,234,,742.0,171.0
Jurickson Profar,1.0,11,31,ATL,Jurickson Profar ,598,0.257,0.035,16,9,75,21,64,19,6,6,77,,742.0,144.0
Jarren Duran,1.0,17,29,BOS,Jarren Duran ,647,0.273,0.037,14,9,86,23,64,20,27,15,41,,742.0,95.0
TJ Friedl,1.0,16,30,CIN,TJ Friedl ,514,0.246,0.036,17,9,56,17,65,18,14,8,87,,742.0,228.0
Victor Robles,1.0,18,32,SEA,Victor Robles ,497,0.277,0.038,5,5,64,17,40,14,39,13,152,,742.0,245.0
Steven Kwan,1.0,17,32,CLE,Steven Kwan ,642,0.283,0.04,10,8,83,23,49,17,14,9,81,,742.0,100.0
Luis Arraez,1.06,18,32,SD,Luis Arraez ,639,0.315,0.05,7,6,78,22,55,18,7,6,105,,741.0,102.0
Yandy Diaz,1.2,15,30,TB,Yandy Diaz ,619,0.291,0.042,16,10,73,21,70,20,2,9,84,,738.0,119.0
Austin Wells,1.25,16,33,NYY,Austin Wells ,449,0.225,0.048,7,5,23,10,29,11,0,4,293,,738.0,289.0
Matt Wallner,1.29,17,31,MIN,Matt Wallner ,486,0.25,0.041,19,9,48,15,57,16,3,4,136,,737.0,251.0
Trea Turner,1.44,16,30,PHI,Trea Turner ,644,0.285,0.041,22,12,97,25,73,21,24,12,9,,734.0,90.0
Mookie Betts,1.45,11,23,LAD,Mookie Betts ,647,0.287,0.041,29,13,103,25,93,24,15,10,4,,734.0,87.0
Bo Bichette,1.47,17,29,TOR,Bo Bichette ,600,0.259,0.034,13,9,63,19,64,19,8,7,83,,734.0,134.0
Jose Iglesias,1.5,6,32,SD,Jose Iglesias ,300,0.313,0.049,2,3,26,8,19,7,3,3,297,,733.0,433.0
LaMonte Wade Jr.,1.56,16,30,SF,LaMonte Wade Jr. ,441,0.243,0.035,11,7,50,14,40,13,3,4,181,,732.0,291.0
Taylor Ward,1.59,17,33,LAA,Taylor Ward ,626,0.251,0.035,22,11,77,22,72,21,5,6,51,,731.0,105.0
Tommy Pham,1.61,18,30,PIT,Tommy Pham ,482,0.246,0.033,11,7,54,16,48,15,10,7,132,,731.0,249.0
Julio Rodriguez,1.75,16,32,SEA,Julio Rodriguez ,646,0.276,0.038,22,11,80,22,74,21,23,12,18,,728.0,82.0
Dylan Crews,1.83,18,30,WSH,Dylan Crews ,570,0.224,0.045,6,6,28,12,18,10,24,11,240,,727.0,157.0
Fernando Tatis Jr.,1.93,14,32,SD,Fernando Tatis Jr. ,629,0.273,0.039,25,12,80,22,69,20,17,10,24,,725.0,96.0
Matt McLain,1.94,17,30,CIN,Matt McLain ,550,0.29,0.068,6,6,26,11,21,10,5,5,269,,725.0,175.0
Kyle Schwarber,1.94,17,30,PHI,Kyle Schwarber ,644,0.232,0.037,38,15,98,25,94,24,4,6,31,,725.0,81.0
Adley Rutschman,2.0,16,29,BAL,Adley Rutschman ,601,0.256,0.036,16,9,65,19,64,19,2,6,118,,724.0,123.0
Aaron Judge,2.0,14,33,NYY,Aaron Judge ,644,0.294,0.043,49,17,109,26,117,27,8,7,7,,724.0,80.0
Luis Robert Jr.,2.0,17,31,CWS,Luis Robert Jr. ,589,0.251,0.035,23,11,75,21,65,19,24,12,29,,724.0,135.0
Corey Seager,2.0,17,32,TEX,Corey Seager ,543,0.283,0.04,29,12,75,20,80,20,2,5,57,,724.0,181.0
Willy Adames,2.0,17,30,SF,Willy Adames ,643,0.238,0.035,28,13,82,22,94,24,11,8,15,,724.0,81.0
Carlos Correa,2.0,15,31,MIN,Carlos Correa ,538,0.278,0.039,19,10,71,19,70,19,1,6,101,,724.0,186.0
Juan Soto,2.0,15,31,NYM,Juan Soto ,665,0.275,0.04,35,15,105,26,98,25,8,7,8,,724.0,59.0
Bobby Witt Jr.,2.0,17,33,KC,Bobby Witt Jr. ,660,0.298,0.044,25,13,94,25,89,24,28,16,6,,724.0,64.0
Bryan Reynolds,2.0,16,30,PIT,Bryan Reynolds ,636,0.269,0.036,22,12,75,21,80,22,9,7,30,,724.0,88.0
Corbin Carroll,2.06,16,34,AZ,Corbin Carroll ,643,0.253,0.037,19,11,96,24,66,20,31,14,26,,723.0,80.0
Lars Nootbaar,2.06,17,30,STL,Lars Nootbaar ,505,0.244,0.035,15,8,60,17,54,16,8,6,111,,723.0,218.0
Brent Rooker,2.06,16,31,ATH,Brent Rooker ,608,0.268,0.04,29,13,67,20,81,22,7,6,45,,723.0,115.0
Jackson Chourio,2.12,17,31,MIL,Jackson Chourio ,639,0.277,0.051,12,8,44,16,44,16,11,8,155,,722.0,83.0
Austin Riley,2.16,19,31,ATL,Austin Riley ,643,0.266,0.036,28,13,89,23,83,23,2,6,47,,721.0,78.0
Mike Tauchman,2.2,10,31,CWS,Mike Tauchman ,391,0.247,0.037,7,5,48,13,33,11,5,4,196,,720.0,329.0
Jose Ramirez,2.27,15,32,CLE,Jose Ramirez ,652,0.279,0.039,30,14,97,25,100,25,28,15,2,,719.0,67.0
Isaac Paredes,2.27,15,29,HOU,Isaac Paredes ,585,0.235,0.037,23,11,62,19,75,20,1,5,107,,719.0,134.0
Alex Bregman,2.29,17,29,BOS,Alex Bregman ,637,0.26,0.036,22,12,83,23,80,22,3,6,55,,719.0,82.0
Brandon Lowe,2.29,17,30,TB,Brandon Lowe ,495,0.239,0.035,23,10,65,18,69,18,5,5,69,,719.0,224.0
Ezequiel Tovar,2.38,21,33,COL,Ezequiel Tovar ,649,0.261,0.038,16,10,61,20,60,19,6,6,93,,717.0,68.0
Kyle Tucker,2.38,13,24,CHC,Kyle Tucker ,637,0.279,0.039,36,15,96,24,100,25,20,11,3,,717.0,80.0
Gleyber Torres,2.41,17,31,DET,Gleyber Torres ,626,0.262,0.035,18,10,78,22,65,20,8,7,54,,717.0,91.0
Christian Yelich,2.42,12,31,MIL,Christian Yelich ,553,0.285,0.041,16,9,81,21,66,19,24,15,46,,716.0,163.0
Francisco Alvarez,2.5,8,31,NYM,Francisco Alvarez ,460,0.229,0.038,15,8,43,14,52,15,1,4,177,,715.0,255.0
Bryce Harper,2.57,14,30,PHI,Bryce Harper ,632,0.284,0.04,27,13,90,23,85,23,10,8,12,,714.0,82.0
Wyatt Langford,2.58,12,32,TEX,Wyatt Langford ,601,0.259,0.049,9,7,40,15,40,15,9,7,182,,714.0,113.0
Yordan Alvarez,2.58,12,29,HOU,Yordan Alvarez ,577,0.294,0.043,32,13,85,22,90,22,4,5,32,,714.0,137.0
Jesus Sanchez,2.6,10,30,MIA,Jesus Sanchez ,519,0.246,0.034,18,9,56,17,62,18,8,6,89,,713.0,194.0
James Wood,2.62,16,30,WSH,James Wood ,593,0.264,0.05,8,6,38,15,35,14,10,8,190,,713.0,120.0
Seiya Suzuki,2.64,14,24,CHC,Seiya Suzuki ,561,0.277,0.038,17,9,66,19,63,18,10,7,66,,712.0,151.0
Mike Trout,2.65,17,33,LAA,Mike Trout ,485,0.246,0.037,30,12,68,18,59,16,11,7,56,,712.0,227.0
Riley Greene,2.67,18,31,DET,Riley Greene ,610,0.269,0.037,17,10,73,21,62,19,6,6,75,,712.0,102.0
Wenceel Perez,2.67,9,31,DET,Wenceel Perez ,353,0.248,0.046,3,3,21,8,15,7,3,3,329,,712.0,359.0
Ryan McMahon,2.68,19,33,COL,Ryan McMahon ,620,0.24,0.034,20,11,70,20,67,20,4,6,68,,712.0,92.0
Andrew Benintendi,2.71,7,31,CWS,Andrew Benintendi ,542,0.251,0.033,13,8,57,17,56,17,6,6,116,,711.0,169.0
Heliot Ramos,2.71,14,30,SF,Heliot Ramos ,575,0.266,0.05,11,8,30,13,38,14,3,5,213,,711.0,136.0
Travis d'Arnaud,2.75,12,33,LAA,Travis d'Arnaud ,252,0.238,0.034,10,5,29,8,34,9,0,2,256,,710.0,458.0
Tyler Freeman,2.76,17,32,CLE,Tyler Freeman ,112,0.221,0.036,1,1,10,3,8,3,2,1,371,,710.0,598.0
Willson Contreras,2.8,15,30,STL,Willson Contreras ,551,0.257,0.037,22,11,70,19,63,18,6,5,67,,710.0,159.0
Brice Turang,2.82,11,31,MIL,Brice Turang ,577,0.242,0.035,6,6,53,17,40,15,33,13,163,,709.0,132.0
Jung Hoo Lee,2.83,12,30,SF,Jung Hoo Lee ,571,0.255,0.047,3,5,26,12,15,9,3,5,288,,709.0,138.0
Freddie Freeman,2.83,12,23,LAD,Freddie Freeman ,643,0.298,0.044,23,12,95,24,87,23,12,8,10,,709.0,66.0
Byron Buxton,2.87,15,31,MIN,Byron Buxton ,463,0.253,0.036,23,10,70,18,62,17,9,6,65,,708.0,245.0
Cal Raleigh,2.94,18,32,SEA,Cal Raleigh ,571,0.218,0.034,28,12,66,19,80,21,3,5,70,,707.0,136.0
Jackson Merrill,2.94,18,32,SD,Jackson Merrill ,625,0.291,0.052,12,8,41,16,47,17,8,7,156,,707.0,82.0
Pete Alonso,3.0,20,31,NYM,Pete Alonso ,637,0.238,0.036,35,15,85,23,95,24,4,6,35,,706.0,69.0
Brandon Nimmo,3.0,9,31,NYM,Brandon Nimmo ,580,0.247,0.035,19,10,77,21,67,19,7,6,58,,706.0,126.0
