player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Jonathan India,1.0,8,17,KC,Jonathan India ,569,0.25,0.035,15,9,76,20,58,18,10,7,80,,742.0,173.0
Jose Altuve,1.0,6,15,HOU,Jose Altuve ,636,0.294,0.043,22,11,97,24,68,20,18,10,14,,742.0,106.0
TJ Friedl,1.0,8,15,CIN,TJ Friedl ,514,0.246,0.036,17,9,56,17,65,18,14,8,87,,742.0,228.0
Lawrence Butler,1.0,7,17,ATH,Lawrence Butler ,607,0.247,0.038,19,10,57,18,53,18,11,8,88,,742.0,135.0
Luis Arraez,1.0,8,16,SD,Luis Arraez ,639,0.315,0.05,7,6,78,22,55,18,7,6,105,,742.0,103.0
Steven Kwan,1.0,8,15,CLE,Steven Kwan ,642,0.283,0.04,10,8,83,23,49,17,14,9,81,,742.0,100.0
Matt Wallner,1.0,8,15,MIN,Matt Wallner ,486,0.25,0.041,19,9,48,15,57,16,3,4,136,,742.0,256.0
Jarren Duran,1.0,8,15,BOS,Jarren Duran ,647,0.273,0.037,14,9,86,23,64,20,27,15,41,,742.0,95.0
Ketel Marte,1.0,10,18,AZ,Ketel Marte ,620,0.278,0.039,29,13,91,23,87,23,7,6,16,,742.0,122.0
Ian Happ,1.0,10,17,CHC,Ian Happ ,644,0.249,0.035,21,11,83,23,79,22,11,8,28,,742.0,98.0
Brenton Doyle,1.0,8,16,COL,Brenton Doyle ,614,0.239,0.037,15,9,62,19,55,18,24,12,90,,742.0,128.0
Marcus Semien,1.0,10,17,TEX,Marcus Semien ,657,0.252,0.035,23,12,93,24,77,22,10,8,21,,742.0,85.0
Jurickson Profar,1.0,6,15,ATL,Jurickson Profar ,598,0.257,0.035,16,9,75,21,64,19,6,6,77,,742.0,144.0
CJ Abrams,1.0,8,15,WSH,CJ Abrams ,585,0.247,0.035,14,9,70,20,53,17,31,13,76,,742.0,157.0
