team,player,games_vs_lhp,start_pct_vs_lhp,games_vs_rhp,start_pct_vs_rhp,usage_label
LAA,Wade Meckler,7,0.2857142857142857,23,0.9565217391304348,platoon_candidate
LAA,Yoan Moncada,15,0.3333333333333333,32,0.8125,platoon_candidate
LAA,Donovan Walton,7,0.14285714285714285,21,0.8095238095238095,platoon_candidate
LAA,Oswald Peraza,23,0.9565217391304348,57,0.5964912280701754,platoon_candidate
LAA,Vaughn Grissom,21,0.9047619047619048,44,0.4318181818181818,platoon_candidate
LAA,Jose Siri,9,1.0,23,0.30434782608695654,platoon_candidate
LAA,Josh Lowe,23,0.043478260869565216,57,0.631578947368421,platoon_candidate
LAA,Bryce Teodosio,14,1.0,24,0.041666666666666664,platoon_candidate
LAA,Adam Frazier,19,0.10526315789473684,41,0.4878048780487805,platoon_candidate
HOU,Braden Shewmake,7,0.14285714285714285,24,0.7916666666666666,platoon_candidate
HOU,Brice Matthews,24,0.9166666666666666,58,0.46551724137931033,platoon_candidate
HOU,Yainer Diaz,24,0.625,60,0.3,platoon_candidate
HOU,Taylor Trammell,17,0.058823529411764705,54,0.4444444444444444,platoon_candidate
HOU,Joey Loperfido,24,0.08333333333333333,61,0.39344262295081966,platoon_candidate
ATH,Jeff McNeil,26,0.38461538461538464,57,1.0,platoon_candidate
ATH,Denzel Clarke,6,1.0,15,0.6666666666666666,platoon_candidate
ATH,Carlos Cortes,22,0.09090909090909091,52,0.9038461538461539,platoon_candidate
ATH,Lawrence Butler,27,0.18518518518518517,57,0.7719298245614035,platoon_candidate
ATH,Darell Hernaiz,18,0.7777777777777778,43,0.5116279069767442,platoon_candidate
ATH,Alika Williams,12,0.6666666666666666,21,0.3333333333333333,platoon_candidate
ATH,Jonah Heim,15,0.6666666666666666,35,0.3142857142857143,platoon_candidate
ATH,Colby Thomas,21,0.9523809523809523,38,0.0,platoon_candidate
ATH,Austin Wynns,12,0.6666666666666666,20,0.1,platoon_candidate
ATH,Andy Ibanez,5,0.8,12,0.0,platoon_candidate
TOR,Andres Gimenez,21,0.47619047619047616,61,0.9672131147540983,platoon_candidate
TOR,Daulton Varsho,21,0.5238095238095238,61,0.8524590163934426,platoon_candidate
TOR,Jesus Sanchez,20,0.15,58,0.9137931034482759,platoon_candidate
TOR,Yohendrick Pinango,17,0.35294117647058826,40,0.7,platoon_candidate
TOR,Charles McAdoo,5,0.6,9,0.3333333333333333,platoon_candidate
TOR,Myles Straw,22,1.0,60,0.16666666666666666,platoon_candidate
TOR,Davis Schneider,21,0.8095238095238095,57,0.21052631578947367,platoon_candidate
ATL,Mike Yastrzemski,34,0.23529411764705882,46,0.9782608695652174,platoon_candidate
ATL,Dominic Smith,34,0.17647058823529413,46,0.8695652173913043,platoon_candidate
ATL,Sandy Leon,16,0.75,15,0.3333333333333333,platoon_candidate
ATL,Jose Azocar,7,0.7142857142857143,8,0.125,platoon_candidate
ATL,Jonah Heim,13,0.8461538461538461,22,0.045454545454545456,platoon_candidate
ATL,Eli White,36,0.5833333333333334,46,0.15217391304347827,platoon_candidate
MIL,Jake Bauers,26,0.4230769230769231,50,0.98,platoon_candidate
MIL,Sal Frelick,27,0.48148148148148145,50,0.92,platoon_candidate
MIL,Garrett Mitchell,24,0.4166666666666667,50,0.92,platoon_candidate
MIL,David Hamilton,26,0.2692307692307692,50,0.96,platoon_candidate
MIL,Luis Rengifo,20,0.95,42,0.5952380952380952,platoon_candidate
MIL,Brandon Lockridge,11,1.0,23,0.5217391304347826,platoon_candidate
MIL,Joey Ortiz,27,0.9259259259259259,50,0.46,platoon_candidate
MIL,Gary Sanchez,27,0.7777777777777778,48,0.25,platoon_candidate
MIL,Andrew Vaughn,27,0.6296296296296297,50,0.3,platoon_candidate
MIL,Luis Matos,5,0.8,11,0.18181818181818182,platoon_candidate
MIL,Blake Perkins,27,0.6296296296296297,48,0.10416666666666667,platoon_candidate
STL,Lars Nootbaar,6,0.5,15,1.0,platoon_candidate
STL,Nolan Gorman,15,0.26666666666666666,49,0.9795918367346939,platoon_candidate
STL,Nathan Church,20,0.35,59,0.7796610169491526,platoon_candidate
STL,Jimmy Crooks,8,0.125,17,0.7647058823529411,platoon_candidate
STL,Ramon Urias,6,0.8333333333333334,26,0.46153846153846156,platoon_candidate
STL,Bryan Torres,10,0.2,21,0.5238095238095238,platoon_candidate
STL,Thomas Saggese,14,0.7142857142857143,42,0.2857142857142857,platoon_candidate
STL,Nelson Velazquez,9,0.8888888888888888,15,0.06666666666666667,platoon_candidate
STL,Jose Fermin,19,0.8421052631578947,52,0.17307692307692307,platoon_candidate
STL,Yohel Pozo,10,0.5,35,0.0,platoon_candidate
CHC,Moises Ballesteros,16,0.0625,54,0.8148148148148148,platoon_candidate
CHC,Miguel Amaya,20,0.65,60,0.36666666666666664,platoon_candidate
CHC,Matt Shaw,20,0.7,59,0.288135593220339,platoon_candidate
CHC,Michael Conforto,20,0.0,59,0.4406779661016949,platoon_candidate
AZ,Tommy Troy,10,0.7,23,0.9565217391304348,platoon_candidate
AZ,Alek Thomas,8,0.125,28,0.9642857142857143,platoon_candidate
AZ,Jose Fernandez,14,1.0,44,0.6363636363636364,platoon_candidate
AZ,LuJames Groover,7,1.0,13,0.46153846153846156,platoon_candidate
AZ,Adrian Del Castillo,20,0.05,55,0.7090909090909091,platoon_candidate
AZ,Pavin Smith,21,0.0,62,0.27419354838709675,platoon_candidate
LAD,Max Muncy,22,0.5454545454545454,63,0.9682539682539683,platoon_candidate
LAD,Hyeseong Kim,8,0.25,37,0.8918918918918919,platoon_candidate
LAD,Alex Freeland,21,0.2857142857142857,62,0.7741935483870968,platoon_candidate
LAD,Miguel Rojas,22,0.8181818181818182,63,0.14285714285714285,platoon_candidate
LAD,Alex Call,18,0.5555555555555556,56,0.23214285714285715,platoon_candidate
LAD,Ryan Ward,16,0.0625,45,0.35555555555555557,platoon_candidate
LAD,Santiago Espinal,16,0.75,52,0.0,platoon_candidate
SF,Patrick Bailey,8,0.375,26,0.8076923076923077,platoon_candidate
SF,Drew Gilbert,18,0.3888888888888889,46,0.8478260869565217,platoon_candidate
SF,Daniel Susac,21,0.5714285714285714,52,0.3076923076923077,platoon_candidate
SF,Jerar Encarnacion,7,0.5714285714285714,19,0.2631578947368421,platoon_candidate
SF,Victor Bericoto,13,0.6923076923076923,19,0.05263157894736842,platoon_candidate
SF,Jonah Cox,10,0.7,14,0.0,platoon_candidate
CLE,Steven Kwan,29,0.6896551724137931,52,0.9423076923076923,platoon_candidate
CLE,Juan Brito,7,1.0,11,0.6363636363636364,platoon_candidate
CLE,Chase DeLauter,29,0.5862068965517241,52,0.8461538461538461,platoon_candidate
CLE,Kyle Manzardo,28,0.39285714285714285,52,0.9038461538461539,platoon_candidate
CLE,Daniel Schneemann,28,0.4642857142857143,50,0.8,platoon_candidate
CLE,Rhys Hoskins,29,0.9310344827586207,52,0.4807692307692308,platoon_candidate
CLE,Bo Naylor,11,0.09090909090909091,26,0.8076923076923077,platoon_candidate
CLE,Patrick Bailey,16,0.25,24,0.7083333333333334,platoon_candidate
CLE,Austin Hedges,29,0.7586206896551724,48,0.2708333333333333,platoon_candidate
CLE,David Fry,29,0.8620689655172413,50,0.12,platoon_candidate
CLE,Stuart Fairchild,7,1.0,10,0.0,platoon_candidate
SEA,Luke Raley,25,0.04,57,0.9473684210526315,platoon_candidate
SEA,Dominic Canzone,25,0.16,59,0.8813559322033898,platoon_candidate
SEA,Mitch Garver,24,0.5833333333333334,55,0.2727272727272727,platoon_candidate
SEA,Rob Refsnyder,25,0.88,54,0.037037037037037035,platoon_candidate
SEA,Victor Robles,25,0.48,57,0.12280701754385964,platoon_candidate
SEA,Connor Joe,19,0.42105263157894735,46,0.043478260869565216,platoon_candidate
MIA,Jakob Marsee,21,0.6666666666666666,64,1.0,platoon_candidate
